name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sumenep,1/28/2023,29.1,24.7,26.3,34.3,24.7,27.1,24,87.2,1.2,100,8.33,rain,0,0,34.9,31.7,280.4,1006.8,99,13.1,92.7,8,4,10,2023-01-28T05:24:36,2023-01-28T17:50:17,0.25,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"96937099999,96973099999,remote"
sumenep,1/29/2023,30.9,24.9,27.1,37.7,24.9,29.1,24.2,84.6,7,100,4.17,rain,0,0,36,25.8,272.6,1007.4,95.1,18.3,175.9,15.2,7,30,2023-01-29T05:24:56,2023-01-29T17:50:19,0.25,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,1/30/2023,30.9,25.3,27.7,39.4,25.3,30.6,24.4,82.5,2.1,100,29.17,rain,0,0,39.6,25.9,272.1,1008.3,94.6,17.6,234,20,9,30,2023-01-30T05:25:15,2023-01-30T17:50:20,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96937099999,96973099999,remote"
sumenep,1/31/2023,30.4,25.9,27.6,37.8,25.9,30.2,24.6,84.3,26,100,4.17,rain,0,0,27.4,20.5,287.1,1007.5,94.1,16.6,268.3,23.1,8,60,2023-01-31T05:25:34,2023-01-31T17:50:21,0.31,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96937099999,96973099999,remote"
sumenep,2/1/2023,29.8,25.1,27.2,36.3,25.1,29.5,24.3,84.3,11.5,100,8.33,rain,0,0,37.1,23.4,280,1007.4,97.5,17.4,244.5,21.1,9,30,2023-02-01T05:25:53,2023-02-01T17:50:20,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96937099999,96973099999,remote"
sumenep,2/2/2023,28.9,25.1,26.3,35.2,25.1,27.3,24.4,89.3,1.5,100,8.33,rain,0,0,34.9,20.9,283.2,1008.9,99,15.6,101.4,8.8,4,10,2023-02-02T05:26:10,2023-02-02T17:50:18,0.38,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"96937099999,96973099999,remote"
sumenep,2/3/2023,29.9,24.9,27.1,36,24.9,29.7,24.2,84.4,99,100,4.17,rain,0,0,41,24.1,280.8,1007.8,97.9,19.7,172,14.7,7,30,2023-02-03T05:26:27,2023-02-03T17:50:16,0.41,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"96937099999,96973099999,remote"
sumenep,2/4/2023,29.9,26.1,27.4,36,26.1,30,24.2,82.7,2.1,100,45.83,rain,0,0,43.2,28.1,297.6,1007.2,95,14.1,221.6,19.1,9,30,2023-02-04T05:26:43,2023-02-04T17:50:12,0.45,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96937099999,96973099999,remote"
sumenep,2/5/2023,30.5,25.7,27.5,38.6,25.7,30.1,24.4,83.6,31.2,100,8.33,rain,0,0,39.6,23,287.6,1007.1,99.4,15.8,129.5,11.3,4,30,2023-02-05T05:26:59,2023-02-05T17:50:08,0.48,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96937099999,96973099999,remote"
sumenep,2/6/2023,30.2,24.1,27.5,37.2,24.1,30.2,24.2,82.8,0.4,100,4.17,rain,0,0,37.1,30.8,288.7,1007.3,95.5,17.7,223,19.3,8,30,2023-02-06T05:27:13,2023-02-06T17:50:03,0.5,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"96937099999,96973099999,remote"
